,Country,2005,2006,2007,2008,2009,2010
190,Solomon Islands,4763200.0,4928080.0,5107616.0,5294480.0,5488672.0,5686528.0
191,Somalia,23620135.0,24213703.0,24821927.0,25422823.0,26020055.0,26631943.0
192,South Africa,14135579092.0,14581287756.0,15045262756.0,15539389912.0,16040766850.0,16513249430.0
193,South Korea,9097268389.0,9562874298.0,10056227516.0,10562010071.0,11068774611.0,11634735536.0
194,South Sudan,17142940.0,18143212.0,19319356.0,20561147.0,21856981.0,23184265.0
195,Spain,10604177295.0,10964456534.0,11332590137.0,11669080256.0,11966328397.0,12250205887.0
196,Sri Lanka,244480318.0,256273974.0,268425285.0,280413101.0,293356585.0,306406886.0
197,Sudan,213662496.0,225665760.0,239779488.0,254680976.0,270230992.0,286158400.0
198,Suriname,80393536.0,82132592.0,83889462.0,85825169.0,87820517.0,90215872.0
199,Swaziland,21672560.0,22687488.0,23750048.0,24845584.0,25889824.0,26926736.0
200,Sweden,4290609298.0,4344282049.0,4397098526.0,4447821622.0,4494974861.0,4547902135.0
201,Switzerland,2413116145.0,2458481773.0,2501841600.0,2546548288.0,2590076356.0,2635121458.0
202,Syria,1203981165.0,1256821551.0,1322540031.0,1389417427.0,1450979644.0,1511696046.0
203,Taiwan,4899642287.0,5164449755.0,5439986357.0,5699348306.0,5945804488.0,6213679908.0
204,Tajikistan,243312326.0,245946465.0,249150758.0,252036071.0,254470762.0,256988525.0
205,Tanzania,94089739.0,99968732.0,105679021.0,111616430.0,117310356.0,124150963.0
206,Thailand,3565837997.0,3814457992.0,4063624102.0,4313215121.0,4577965420.0,4857393934.0
207,Timor,674176.0,853712.0,1036912.0,1238432.0,1465600.0,1700096.0
208,Togo,35153262.0,36653768.0,38170520.0,39693298.0,42434136.0,45033498.0
209,Tonga,2502512.0,2630752.0,2744336.0,2865248.0,2997152.0,3114400.0
210,Trinidad and Tobago,918970774.0,961531423.0,1006880624.0,1051133031.0,1095901990.0,1143714324.0
211,Tunisia,497949443.0,520551936.0,544236285.0,568569703.0,592891310.0,619993841.0
212,Turkey,5426588688.0,5708130407.0,6020992905.0,6331389600.0,6648160632.0,6967689032.0
213,Turkmenistan,1428201904.0,1477574053.0,1533464184.0,1590129918.0,1640300666.0,1697409557.0
214,Turks and Caicos Islands,1018592.0,1161488.0,1326368.0,1505904.0,1685440.0,1875968.0
215,Tuvalu,131904.0,139232.0,150224.0,161216.0,172208.0,179536.0
216,Uganda,45470684.0,47939304.0,50754620.0,53806877.0,57053556.0,60818712.0
217,Ukraine,22396313137.0,22729077849.0,23065678945.0,23391411721.0,23668581623.0,23962100434.0
218,United Arab Emirates,2015674509.0,2137558304.0,2270895296.0,2425050706.0,2590235842.0,2748400504.0
219,United Kingdom,71312588008.0,71880240253.0,72439562234.0,72984410472.0,73479015204.0,73991229457.0
220,United States,332000000000.0,338000000000.0,344000000000.0,350000000000.0,356000000000.0,361000000000.0
221,Uruguay,267435921.0,274032007.0,279978518.0,288179183.0,296126516.0,302423228.0
222,Uzbekistan,4718822658.0,4838521020.0,4957938290.0,5081273920.0,5187807822.0,5291389310.0
223,Vanuatu,2806624.0,2854256.0,2953184.0,3048448.0,3169360.0,3290272.0
224,Venezuela,5454171610.0,5622714825.0,5782703743.0,5960916552.0,6139761658.0,6327940990.0
225,Vietnam,1282493038.0,1381627071.0,1482204313.0,1595445128.0,1718281657.0,1854394747.0
226,Wallis and Futuna Islands,120912.0,150224.0,179536.0,201520.0,230832.0,260144.0
227,World,1170000000000.0,1200000000000.0,1230000000000.0,1260000000000.0,1290000000000.0,1330000000000.0
228,Yemen,364724273.0,385809327.0,406528343.0,428553318.0,452800876.0,475952740.0
229,Zambia,148187062.0,150418746.0,152286353.0,154391909.0,156798190.0,159360768.0
230,Zimbabwe,589174567.0,599539437.0,609373451.0,617092326.0,622611834.0,630292845.0
